year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,posi,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,id,odds,rank
2015,마르테,KT,0.348,115,487.0,425.0,85.0,148.0,32.0,1.0,20.0,242.0,89.0,0.0,8.0,51.0,7.0,2.0,60.0,19.0,0.569,0.414,0.983,44.0,0.305,53.0,88.0,137.0,0.64,7.0,0.85,3.57,0.221,88.3,1,,,,,,,,,,,,,,,,,,,,t1507,0.364,10
2015,이대형,KT,0.302,140,616.0,546.0,86.0,165.0,23.0,3.0,0.0,194.0,37.0,10.0,1.0,53.0,0.0,6.0,92.0,5.0,0.355,0.37,0.725,44.0,0.29,26.0,236.0,54.0,4.37,2.0,0.58,3.77,0.053,76.6,1,,,,,,,,,,,,,,,,,,,,t1507,0.364,10
2015,박경수,KT,0.284,137,537.0,440.0,75.0,125.0,30.0,1.0,22.0,223.0,73.0,6.0,4.0,74.0,1.0,13.0,115.0,8.0,0.507,0.39899999999999997,0.9059999999999999,38.0,0.28800000000000003,53.0,99.0,105.0,0.94,7.0,0.64,4.28,0.223,89.1,1,,,,,,,,,,,,,,,,,,,,t1507,0.364,10
2015,장성우,KT,0.284,133,491.0,433.0,55.0,123.0,20.0,1.0,13.0,184.0,77.0,3.0,9.0,46.0,1.0,0.0,85.0,12.0,0.425,0.34600000000000003,0.7709999999999999,31.0,0.28600000000000003,34.0,123.0,111.0,1.11,10.0,0.54,4.0,0.141,64.2,1,,,,,,,,,,,,,,,,,,,,t1507,0.364,10
2015,김상현,KT,0.28,134,539.0,475.0,71.0,133.0,20.0,0.0,27.0,234.0,88.0,0.0,6.0,50.0,4.0,8.0,115.0,21.0,0.493,0.354,0.847,37.0,0.25,47.0,140.0,93.0,1.51,3.0,0.43,4.02,0.213,77.5,1,,,,,,,,,,,,,,,,,,,,t1507,0.364,10
2015,옥스프링,KT,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.48,12.0,10.0,0.545,1.0,200.0,23.0,66.0,,142.0,104.0,92.0,1.44,15.0,806.0,3142.0,0.282,33.0,0.0,t1507,0.364,10
2015,이용규,한화,0.341,124,585.0,493.0,94.0,168.0,15.0,7.0,4.0,209.0,42.0,11.0,4.0,68.0,5.0,9.0,45.0,4.0,0.424,0.42700000000000005,0.851,49.0,0.35,26.0,177.0,107.0,1.65,3.0,1.51,3.98,0.083,93.2,1,,,,,,,,,,,,,,,,,,,,t1510,0.472,6
2015,정근우,한화,0.316,126,552.0,468.0,99.0,148.0,30.0,2.0,12.0,218.0,66.0,13.0,2.0,61.0,1.0,8.0,66.0,14.0,0.466,0.40299999999999997,0.8690000000000001,48.0,0.307,44.0,158.0,98.0,1.61,13.0,0.92,3.59,0.15,84.9,1,,,,,,,,,,,,,,,,,,,,t1510,0.472,6
2015,김태균,한화,0.316,133,524.0,408.0,61.0,129.0,28.0,0.0,21.0,220.0,104.0,1.0,5.0,98.0,12.0,12.0,80.0,19.0,0.539,0.457,0.996,30.0,0.353,49.0,120.0,84.0,1.43,11.0,1.23,4.24,0.223,96.1,1,,,,,,,,,,,,,,,,,,,,t1510,0.472,6
2015,탈보트,한화,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.72,10.0,11.0,0.47600000000000003,1.0,153.0,11.0,85.0,,120.0,93.0,82.0,1.52,15.0,695.0,2807.0,0.262,26.0,1.0,t1510,0.472,6
2015,박용택,LG,0.326,128,533.0,487.0,66.0,159.0,28.0,2.0,18.0,245.0,83.0,1.0,7.0,34.0,1.0,4.0,73.0,12.0,0.503,0.37,0.873,50.0,0.35700000000000004,48.0,127.0,135.0,0.94,10.0,0.47,3.77,0.177,85.3,1,,,,,,,,,,,,,,,,,,,,t1504,0.451,9
2015,오지환,LG,0.278,138,566.0,497.0,76.0,138.0,41.0,4.0,11.0,220.0,56.0,3.0,3.0,59.0,1.0,4.0,121.0,2.0,0.44299999999999995,0.35700000000000004,0.8,39.0,0.264,56.0,117.0,124.0,0.94,9.0,0.49,4.29,0.165,80.4,1,,,,,,,,,,,,,,,,,,,,t1504,0.451,9
2015,우규민,LG,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.42,11.0,9.0,0.55,1.0,163.0,13.0,17.0,,119.0,64.0,58.0,1.18,13.0,621.0,2256.0,0.282,26.0,5.0,t1504,0.451,9
2015,소사,LG,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.03,10.0,12.0,0.455,1.0,199.0,16.0,36.0,,177.0,102.0,87.0,1.21,19.0,809.0,3138.0,0.266,39.0,7.0,t1504,0.451,9
2015,루카스,LG,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.93,10.0,11.0,0.47600000000000003,1.0,175.0,11.0,108.0,,151.0,103.0,94.0,1.65,12.0,785.0,3261.0,0.27,21.0,1.0,t1504,0.451,9
2015,김현수,두산,0.326,141,630.0,512.0,103.0,167.0,26.0,0.0,28.0,277.0,121.0,0.0,9.0,101.0,12.0,8.0,63.0,13.0,0.541,0.43799999999999994,0.9790000000000001,50.0,0.33299999999999996,54.0,146.0,145.0,1.01,13.0,1.6,3.72,0.215,118.9,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,양의지,두산,0.326,132,513.0,442.0,70.0,144.0,27.0,0.0,20.0,231.0,93.0,2.0,6.0,39.0,3.0,24.0,64.0,7.0,0.523,0.405,0.9279999999999999,45.0,0.28300000000000003,47.0,81.0,159.0,0.51,12.0,0.61,3.78,0.19699999999999998,89.9,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,허경민,두산,0.317,117,453.0,404.0,64.0,128.0,20.0,2.0,1.0,155.0,41.0,8.0,3.0,31.0,0.0,7.0,42.0,11.0,0.384,0.373,0.757,36.0,0.27399999999999997,23.0,136.0,101.0,1.35,1.0,0.74,3.66,0.067,56.0,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,김재호,두산,0.307,133,488.0,410.0,63.0,126.0,24.0,3.0,3.0,165.0,50.0,14.0,7.0,54.0,0.0,3.0,42.0,18.0,0.402,0.386,0.7879999999999999,33.0,0.306,30.0,101.0,148.0,0.68,6.0,1.29,3.85,0.095,63.3,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,민병헌,두산,0.303,129,561.0,491.0,80.0,149.0,20.0,2.0,12.0,209.0,75.0,6.0,6.0,50.0,0.0,8.0,74.0,15.0,0.426,0.373,0.799,47.0,0.32299999999999995,34.0,131.0,143.0,0.92,6.0,0.68,3.78,0.122,76.8,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,정수빈,두산,0.295,128,570.0,491.0,79.0,145.0,27.0,7.0,2.0,192.0,59.0,19.0,6.0,43.0,1.0,11.0,70.0,9.0,0.391,0.361,0.752,42.0,0.32,36.0,172.0,110.0,1.56,5.0,0.61,3.78,0.096,70.1,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,오재원,두산,0.28,120,474.0,411.0,60.0,115.0,20.0,2.0,11.0,172.0,59.0,7.0,4.0,47.0,1.0,4.0,94.0,9.0,0.418,0.35600000000000004,0.774,27.0,0.293,33.0,108.0,98.0,1.1,6.0,0.5,4.15,0.139,64.6,1,,,,,,,,,,,,,,,,,,,,t1503,0.5489999999999999,1
2015,유희관,두산,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.94,18.0,5.0,0.7829999999999999,1.0,193.0,23.0,44.0,,126.0,84.0,83.0,1.25,17.0,786.0,2965.0,0.26899999999999996,33.0,5.0,t1503,0.5489999999999999,1
2015,장원준,두산,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.08,12.0,12.0,0.5,1.0,182.0,13.0,68.0,,128.0,86.0,77.0,1.47,17.0,748.0,2942.0,0.281,35.0,2.0,t1503,0.5489999999999999,1
2015,필,KIA,0.325,143,591.0,536.0,81.0,174.0,35.0,1.0,22.0,277.0,101.0,0.0,9.0,43.0,6.0,3.0,74.0,12.0,0.517,0.37200000000000005,0.889,55.0,0.33299999999999996,58.0,139.0,158.0,0.88,15.0,0.58,3.56,0.192,96.1,1,,,,,,,,,,,,,,,,,,,,t1505,0.465,7
2015,이범호,KIA,0.27,138,514.0,437.0,60.0,118.0,25.0,0.0,28.0,227.0,79.0,0.0,4.0,57.0,1.0,16.0,91.0,16.0,0.519,0.37200000000000005,0.8909999999999999,29.0,0.245,53.0,99.0,133.0,0.74,7.0,0.63,4.02,0.249,80.9,1,,,,,,,,,,,,,,,,,,,,t1505,0.465,7
2015,양현종,KIA,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.44,15.0,6.0,0.7140000000000001,1.0,150.0,18.0,78.0,,157.0,52.0,50.0,1.24,19.0,756.0,3041.0,0.23199999999999998,27.0,2.0,t1505,0.465,7
2015,스틴슨,KIA,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.96,11.0,10.0,0.524,1.0,190.0,15.0,64.0,,93.0,100.0,92.0,1.52,12.0,756.0,2842.0,0.28800000000000003,30.0,6.0,t1505,0.465,7
2015,손아섭,롯데,0.317,116,517.0,445.0,86.0,141.0,28.0,1.0,13.0,210.0,54.0,0.0,3.0,68.0,3.0,1.0,96.0,6.0,0.47200000000000003,0.406,0.878,39.0,0.354,42.0,144.0,67.0,2.15,7.0,0.71,4.15,0.155,83.4,1,,,,,,,,,,,,,,,,,,,,t1506,0.462,8
2015,아두치,롯데,0.314,132,594.0,526.0,105.0,165.0,34.0,5.0,28.0,293.0,106.0,1.0,4.0,55.0,8.0,8.0,118.0,9.0,0.557,0.384,0.941,45.0,0.354,67.0,140.0,107.0,1.31,10.0,0.47,4.02,0.243,105.6,1,,,,,,,,,,,,,,,,,,,,t1506,0.462,8
2015,강민호,롯데,0.311,123,456.0,380.0,63.0,118.0,18.0,1.0,35.0,243.0,86.0,0.0,2.0,60.0,2.0,14.0,112.0,14.0,0.639,0.42100000000000004,1.06,32.0,0.322,54.0,73.0,79.0,0.92,7.0,0.54,4.21,0.32899999999999996,92.5,1,,,,,,,,,,,,,,,,,,,,t1506,0.462,8
2015,최준석,롯데,0.306,144,618.0,507.0,78.0,155.0,18.0,1.0,31.0,268.0,109.0,1.0,1.0,108.0,4.0,1.0,134.0,17.0,0.529,0.428,0.9570000000000001,38.0,0.34,50.0,129.0,90.0,1.43,10.0,0.81,4.51,0.223,109.2,1,,,,,,,,,,,,,,,,,,,,t1506,0.462,8
