year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa
2016,이호준,NC,0.298,119,472,399,46,119,20,0,21,202,87,2,4,65,6,2,78,11,0.506,0.396,0.902,33,0.342,41,114,92,1.24,12,0.83,4.14,0.208,77.4
2016,대니돈,넥센,0.295,129,497,417,65,123,33,1,16,206,70,1,4,70,4,5,72,8,0.494,0.399,0.893,34,0.297,50,83,143,0.58,7,0.97,3.91,0.199,81.2
2016,서동욱,KIA,0.292,124,485,411,73,120,30,3,16,204,67,6,3,60,1,5,108,8,0.496,0.386,0.882,31,0.308,49,84,102,0.82,6,0.56,4.08,0.204,76.9
2016,이재원,SK,0.29,130,472,411,49,119,15,0,15,179,64,2,7,43,3,9,76,15,0.436,0.364,0.8,33,0.25,30,99,124,0.8,4,0.57,3.66,0.146,63.1
2016,최정,SK,0.288,141,606,500,106,144,24,1,40,290,106,0,6,77,2,23,126,6,0.58,0.403,0.983,42,0.278,65,87,149,0.58,6,0.61,4.04,0.292,115.7
2016,백상원,삼성,0.288,132,517,445,60,128,19,3,3,162,49,10,7,51,0,4,69,15,0.364,0.361,0.725,33,0.311,25,143,112,1.28,2,0.74,3.65,0.076,60.2
2016,허경민,두산,0.286,144,609,538,96,154,24,4,7,207,81,6,2,49,1,14,58,14,0.385,0.36,0.745,43,0.321,35,179,149,1.2,11,0.84,3.64,0.099,72.3
2016,고메즈,SK,0.283,117,492,456,74,129,31,0,21,223,62,2,4,25,2,5,87,11,0.489,0.324,0.813,39,0.297,52,107,137,0.78,4,0.29,3.6,0.206,68.8
2016,김하성,넥센,0.281,144,599,526,92,148,29,7,20,251,84,2,5,60,2,6,80,7,0.477,0.358,0.835,36,0.315,56,103,200,0.52,4,0.75,4.12,0.196,90.1
2016,오지환,LG,0.28,121,472,393,73,110,14,5,20,194,78,2,5,65,0,7,97,7,0.494,0.387,0.881,29,0.266,39,101,90,1.12,3,0.67,4.22,0.214,77.3
2016,박정권,SK,0.277,125,468,422,59,117,17,3,18,194,59,2,4,35,0,5,99,7,0.46,0.337,0.797,34,0.243,38,101,109,0.93,5,0.35,3.81,0.182,65.8
2016,오재원,두산,0.272,122,484,416,68,113,18,1,5,148,58,3,6,54,1,5,82,10,0.356,0.358,0.714,25,0.33,24,119,108,1.1,6,0.66,4.08,0.084,55.5
2016,양성우,한화,0.271,108,446,384,52,104,12,4,4,136,53,8,6,39,0,9,67,6,0.354,0.347,0.701,27,0.318,20,117,102,1.15,5,0.58,3.81,0.083,51.7
2016,김호령,KIA,0.267,124,514,453,72,121,18,3,8,169,41,13,2,36,0,10,104,7,0.373,0.333,0.706,32,0.221,29,114,116,0.98,1,0.35,3.85,0.106,57.4
2016,박동원,넥센,0.248,127,454,411,44,102,25,1,14,171,70,6,3,27,0,7,93,18,0.416,0.304,0.72,26,0.25,40,117,102,1.15,8,0.29,3.65,0.168,48.1
2016,나성범,NC,0.309,144,653,572,116,177,37,2,22,284,113,1,4,67,2,9,136,4,0.497,0.388,0.885,56,0.32,61,132,131,1.01,15,0.49,3.79,0.187,107.4
