연도,선수이름,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,팀아이디,선수아이디,팀승률,팀순위
2015,박병호,2,0.343,140,622,528,129,181,35,1,53,377,146,0,4,78,6,12,161,10,0.7140000000000001,0.436,1.15,50,0.375,89,87,103,0.84,16,0.48,4.05,0.371,144.7,t1502,5,0.545,4
2015,김민성,2,0.303,118,489,445,60,135,24,0,16,207,71,2,3,31,1,8,62,15,0.465,0.35700000000000004,0.8220000000000001,40,0.257,40,120,131,0.92,2,0.5,3.94,0.162,68.1,t1502,26,0.545,4
2015,김하성,2,0.29,140,582,511,89,148,35,5,19,250,73,4,6,56,2,5,115,10,0.489,0.362,0.851,42,0.26,59,111,143,0.78,4,0.49,4.23,0.2,90.6,t1502,35,0.545,4
2015,스나이더,2,0.281,113,487,431,88,121,26,1,26,227,71,3,5,37,0,11,135,2,0.527,0.349,0.8759999999999999,37,0.21,53,65,115,0.57,4,0.27,4.17,0.246,79.9,t1502,41,0.545,4
2015,구자욱,8,0.349,116,465,410,97,143,33,5,11,219,57,0,4,45,0,6,79,3,0.534,0.417,0.951,43,0.33,49,89,103,0.86,2,0.57,3.97,0.185,85.7,t1508,3,0.611,2
2015,이승엽,8,0.332,122,522,470,87,156,28,1,26,264,90,0,6,40,2,6,71,10,0.562,0.387,0.949,45,0.321,55,114,135,0.84,8,0.56,3.86,0.23,94.3,t1508,7,0.611,2
2015,박석민,8,0.321,135,559,448,90,144,25,0,26,247,116,1,8,83,0,19,97,13,0.551,0.441,0.992,32,0.42,51,103,112,0.92,14,0.86,4.26,0.23,107.2,t1508,13,0.611,2
2015,최형우,8,0.318,144,637,547,94,174,33,1,33,308,123,0,8,73,7,9,101,13,0.563,0.402,0.965,46,0.302,67,114,166,0.69,18,0.72,4.02,0.245,115.6,t1508,14,0.611,2
2015,박해민,8,0.293,144,608,525,96,154,22,7,0,190,47,23,2,56,1,2,126,8,0.362,0.362,0.7240000000000001,40,0.294,29,160,87,1.84,6,0.44,3.9,0.069,77.8,t1508,33,0.611,2
2015,나바로,8,0.287,140,643,534,126,153,19,1,48,318,137,1,9,93,8,6,72,10,0.596,0.393,0.989,41,0.271,68,137,181,0.76,11,1.29,4.21,0.309,126.1,t1508,36,0.611,2
2015,김상수,8,0.278,132,518,449,67,125,30,4,8,187,63,13,7,43,0,6,56,9,0.416,0.345,0.7609999999999999,35,0.287,42,126,149,0.85,5,0.77,3.71,0.138,68.7,t1508,44,0.611,2
2015,마르테,7,0.348,115,487,425,85,148,32,1,20,242,89,0,8,51,7,2,60,19,0.569,0.414,0.983,44,0.305,53,88,137,0.64,7,0.85,3.57,0.221,88.3,t1507,4,0.364,10
2015,이대형,7,0.302,140,616,546,86,165,23,3,0,194,37,10,1,53,0,6,92,5,0.355,0.37,0.725,44,0.29,26,236,54,4.37,2,0.58,3.77,0.053,76.6,t1507,27,0.364,10
2015,박경수,7,0.284,137,537,440,75,125,30,1,22,223,73,6,4,74,1,13,115,8,0.507,0.399,0.906,38,0.28800000000000003,53,99,105,0.94,7,0.64,4.28,0.223,89.1,t1507,37,0.364,10
2015,장성우,7,0.284,133,491,433,55,123,20,1,13,184,77,3,9,46,1,0,85,12,0.425,0.34600000000000003,0.7709999999999999,31,0.28600000000000003,34,123,111,1.11,10,0.54,4.0,0.141,64.2,t1507,38,0.364,10
2015,김상현,7,0.28,134,539,475,71,133,20,0,27,234,88,0,6,50,4,8,115,21,0.493,0.354,0.847,37,0.25,47,140,93,1.51,3,0.43,4.02,0.213,77.5,t1507,42,0.364,10
2015,이용규,10,0.341,124,585,493,94,168,15,7,4,209,42,11,4,68,5,9,45,4,0.424,0.4270000000000001,0.851,49,0.35,26,177,107,1.65,3,1.51,3.98,0.083,93.2,t1510,6,0.472,6
2015,정근우,10,0.316,126,552,468,99,148,30,2,12,218,66,13,2,61,1,8,66,14,0.466,0.403,0.8690000000000001,48,0.307,44,158,98,1.61,13,0.92,3.59,0.15,84.9,t1510,17,0.472,6
