year,name,team,avg,game,pa,ab,run,hit,b2,b3,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,xbh,go,ao,goao,gw,bbk,isop,xr,gpa,era,w,l,wpct,ip,ph,phr,pbb,phbp,pso,r,er,whip,qs,tbf,np,pavg,pb2,pb3,rank,odds,id
2020,라이트,NC,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,6.0,4.0,0.6,8.0,84.0,8.0,37.0,,74.0,41.0,40.0,1.36,8.0,378.0,1579.0,0.251,14.0,0.0,1,0.635,t2006
2020,구자욱,삼성,0.332,57,249.0,220.0,35.0,73.0,15.0,0.0,7.0,109.0,34.0,0.0,2.0,23.0,2.0,4.0,45.0,1.0,0.495,0.402,0.897,23.0,0.25,22.0,49.0,55.0,0.89,4.0,0.51,4.02,0.16399999999999998,42.9,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2002
2020,김상수,삼성,0.32799999999999996,70,296.0,247.0,48.0,81.0,17.0,1.0,3.0,109.0,25.0,1.0,2.0,39.0,1.0,7.0,34.0,11.0,0.441,0.431,0.872,20.0,0.34700000000000003,21.0,76.0,58.0,1.31,4.0,1.15,4.26,0.113,45.1,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2005
2020,박해민,삼성,0.302,69,266.0,245.0,40.0,74.0,10.0,2.0,6.0,106.0,27.0,4.0,0.0,16.0,0.0,1.0,41.0,4.0,0.433,0.34700000000000003,0.78,23.0,0.3,18.0,54.0,76.0,0.71,1.0,0.39,3.82,0.131,34.6,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2003
2020,이원석,삼성,0.27399999999999997,66,257.0,215.0,29.0,59.0,11.0,0.0,8.0,94.0,54.0,1.0,9.0,31.0,0.0,1.0,41.0,4.0,0.43700000000000006,0.355,0.792,15.0,0.373,19.0,46.0,78.0,0.59,2.0,0.76,4.0,0.163,37.5,,,,,,,,,,,,,,,,,,,,8,0.46799999999999997,t2001
2020,뷰캐넌,삼성,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,9.0,6.0,0.6,1.0,101.0,10.0,27.0,,63.0,47.0,44.0,1.25,10.0,423.0,1678.0,0.262,11.0,2.0,8,0.46799999999999997,t2004
2020,최형우,KIA,0.316,75,317.0,272.0,45.0,86.0,17.0,0.0,10.0,133.0,50.0,0.0,2.0,39.0,2.0,4.0,48.0,5.0,0.489,0.40700000000000003,0.8959999999999999,26.0,0.349,27.0,62.0,78.0,0.79,12.0,0.81,4.15,0.17300000000000001,52.3,,,,,,,,,,,,,,,,,,,,5,0.532,t2009
2020,터커,KIA,0.298,77,337.0,292.0,56.0,87.0,22.0,0.0,19.0,166.0,61.0,0.0,0.0,41.0,2.0,4.0,38.0,8.0,0.568,0.392,0.96,22.0,0.32899999999999996,41.0,72.0,95.0,0.76,5.0,1.08,3.88,0.271,59.6,,,,,,,,,,,,,,,,,,,,5,0.532,t2004
2020,나지완,KIA,0.28600000000000003,74,300.0,259.0,40.0,74.0,11.0,0.0,10.0,115.0,51.0,0.0,2.0,31.0,0.0,8.0,57.0,2.0,0.444,0.377,0.821,19.0,0.35100000000000003,21.0,50.0,80.0,0.63,4.0,0.54,3.97,0.158,45.0,,,,,,,,,,,,,,,,,,,,5,0.532,t2005
2020,박찬호,KIA,0.23800000000000002,77,304.0,282.0,41.0,67.0,9.0,0.0,3.0,85.0,20.0,4.0,2.0,16.0,0.0,0.0,57.0,6.0,0.301,0.27699999999999997,0.578,19.0,0.159,12.0,87.0,73.0,1.19,1.0,0.28,3.87,0.064,23.1,,,,,,,,,,,,,,,,,,,,5,0.532,t2008
2020,브룩스,KIA,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,7.0,4.0,0.636,1.0,98.0,3.0,21.0,,90.0,33.0,32.0,1.08,11.0,434.0,1634.0,0.24100000000000002,16.0,0.0,5,0.532,t2007
2020,가뇽,KIA,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,6.0,4.0,0.6,8.0,78.0,2.0,33.0,,81.0,42.0,36.0,1.32,6.0,365.0,1477.0,0.245,19.0,5.0,5,0.532,t2001
2020,양현종,KIA,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,7.0,6.0,0.5379999999999999,8.0,103.0,11.0,30.0,,77.0,59.0,56.0,1.48,8.0,396.0,1554.0,0.289,25.0,3.0,5,0.532,t2010
2020,최정,SK,0.28,76,310.0,254.0,49.0,71.0,16.0,0.0,19.0,144.0,51.0,0.0,3.0,42.0,1.0,11.0,49.0,3.0,0.5670000000000001,0.4,0.9670000000000001,18.0,0.254,35.0,47.0,90.0,0.52,5.0,0.86,3.95,0.287,58.2,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2010
2020,최지훈,SK,0.27,64,256.0,230.0,29.0,62.0,10.0,2.0,1.0,79.0,11.0,4.0,1.0,19.0,0.0,2.0,34.0,2.0,0.34299999999999997,0.32899999999999996,0.672,17.0,0.25,13.0,72.0,63.0,1.14,0.0,0.56,3.79,0.07400000000000001,27.9,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2004
2020,로맥,SK,0.24600000000000002,77,321.0,268.0,40.0,66.0,15.0,0.0,13.0,120.0,36.0,0.0,1.0,51.0,2.0,1.0,69.0,3.0,0.44799999999999995,0.368,0.816,16.0,0.237,28.0,46.0,88.0,0.52,3.0,0.74,4.24,0.201,46.9,,,,,,,,,,,,,,,,,,,,9,0.32899999999999996,t2007
2020,문승원,SK,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,3.0,7.0,0.3,9.0,88.0,10.0,23.0,,76.0,43.0,39.0,1.18,9.0,387.0,1456.0,0.247,21.0,0.0,9,0.32899999999999996,t2009
2020,박종훈,SK,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,6.0,6.0,0.5,8.0,82.0,7.0,39.0,,83.0,49.0,46.0,1.4,6.0,373.0,1554.0,0.252,9.0,2.0,9,0.32899999999999996,t2003
2020,핀토,SK,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,4.0,8.0,0.33299999999999996,9.0,120.0,5.0,52.0,,50.0,67.0,57.0,1.9,7.0,442.0,1667.0,0.318,23.0,1.0,9,0.32899999999999996,t2006
2020,이용규,한화,0.275,72,291.0,247.0,38.0,68.0,5.0,0.0,1.0,76.0,20.0,1.0,1.0,38.0,0.0,4.0,23.0,5.0,0.308,0.379,0.687,17.0,0.292,6.0,81.0,76.0,1.07,1.0,1.65,4.34,0.032,32.9,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2002
2020,정은원,한화,0.24600000000000002,77,296.0,248.0,28.0,61.0,9.0,2.0,3.0,83.0,29.0,2.0,1.0,41.0,0.0,4.0,38.0,4.0,0.335,0.361,0.696,16.0,0.221,14.0,77.0,73.0,1.05,3.0,1.08,4.34,0.08900000000000001,33.4,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2010
2020,김태균,한화,0.226,64,246.0,212.0,14.0,48.0,11.0,0.0,2.0,65.0,29.0,1.0,2.0,29.0,3.0,2.0,42.0,7.0,0.307,0.322,0.629,12.0,0.33299999999999996,13.0,52.0,72.0,0.72,4.0,0.69,3.96,0.08,21.7,,,,,,,,,,,,,,,,,,,,10,0.26899999999999996,t2003
2020,김민우,한화,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,2.0,7.0,0.222,8.0,74.0,10.0,41.0,,73.0,42.0,38.0,1.4,2.0,365.0,1493.0,0.237,9.0,0.0,10,0.26899999999999996,t2005
2020,장시환,한화,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.0,6.0,0.33299999999999996,7.0,78.0,8.0,44.0,,84.0,39.0,37.0,1.54,7.0,355.0,1447.0,0.257,13.0,1.0,10,0.26899999999999996,t2002
2020,서폴드,한화,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5.0,9.0,0.35700000000000004,1.0,131.0,8.0,18.0,,59.0,69.0,58.0,1.46,9.0,454.0,1668.0,0.312,22.0,3.0,10,0.26899999999999996,t2009
